id;completed;duedate;name
1;withdrawal Moldovan Leu Intelligent;2020-12-28;Walk payment Gloves
2;Web Savings Account;2020-12-28;Supervisor deposit
3;morph Rubber;2020-12-27;back-end
4;Turnpike Stream circuit;2020-12-27;solid state Designer Quality
5;proactive reboot;2020-12-28;Officer
6;Fresh back up Pa'anga;2020-12-27;Squares Bacon
7;Health Uganda Shilling driver;2020-12-28;bypass
8;Avon interface Orchestrator;2020-12-28;Intelligent Metal Shoes Switchable
9;Industrial ADP Western Sahara;2020-12-28;invoice
10;input;2020-12-28;Valley mint green Technician
